artist	album	track_no	title	length	file	size
The Charlatans UK	Wake Up & Listen	7	Just When You're Thinking Things Over	4:45	Various Artists\Wake Up & Listen\07-Just When You're Thinking Things Over.mp3	9194704
Julian Cope	Wake Up & Listen	8	Try Try Try	3:26	Various Artists\Wake Up & Listen\08-Try Try Try.mp3	6644528
Blameless	Wake Up & Listen	9	Town Clowns	3:13	Various Artists\Wake Up & Listen\09-Town Clowns.mp3	6248772
Teenage Fanclub	Wake Up & Listen	10	Sparky's Dream	3:16	Various Artists\Wake Up & Listen\10-Sparky's Dream.mp3	6342266
Oasis	(What's The Story) Morining Glory?	11	Roll with It	3:58	Various Artists\Wake Up & Listen\11-Roll with It.mp3	7689947
Elastica	Wake Up & Listen	12	Connection	2:15	Various Artists\Wake Up & Listen\12-Connection.mp3	4388373
Echobelly	Wake Up & Listen	13	Great Things	3:28	Various Artists\Wake Up & Listen\13-Great Things.mp3	6710517
Manic Street Preachers	Wake Up & Listen	14	Faster	3:52	Various Artists\Wake Up & Listen\14-Faster.mp3	7496282
Gene	Wake Up & Listen	15	Sleep Well Tonight	4:32	Various Artists\Wake Up & Listen\15-Sleep Well Tonight.mp3	8748771
Shed Seven	Wake Up & Listen	16	Speakeasy	3:17	Various Artists\Wake Up & Listen\16-Speakeasy.mp3	6363978
Edwyn Collins	Wake Up & Listen	17	A Girl Like You	3:54	Various Artists\Wake Up & Listen\17-A Girl Like You.mp3	7556357
Ned's Atomic Dustbin	Wake Up & Listen	18	Stuck	3:41	Various Artists\Wake Up & Listen\18-Stuck.mp3	7125501
The Wannadies	Wake Up & Listen	19	Might Be Stars	3:08	Various Artists\Wake Up & Listen\19-Might Be Stars.mp3	6069221
Suede	Wake Up & Listen	20	New Generation	4:32	Various Artists\Wake Up & Listen\20-New Generation.mp3	8748745
Vagabond Saints Society	Waltz the Halls Always Set 2	1	Opening	1:34	Various Artists\Waltz The Halls Always\Waltz the Halls Always - A Benefit for Scott Miller - Band Set\vss_band_garage_29apr2013t01.mp3	3880609
Vagabond Saints Society	Waltz the Halls Always Set 2	2	What the Whole World Wants	4:38	Various Artists\Waltz The Halls Always\Waltz the Halls Always - A Benefit for Scott Miller - Band Set\vss_band_garage_29apr2013t02.mp3	11215811
Vagabond Saints Society	Waltz the Halls Always Set 2	3	Waltz the Halls Always	2:46	Various Artists\Waltz The Halls Always\Waltz the Halls Always - A Benefit for Scott Miller - Band Set\vss_band_garage_29apr2013t03.mp3	6760363
Vagabond Saints Society	Waltz the Halls Always Set 2	4	Rob & Doug talking	0:58	Various Artists\Waltz The Halls Always\Waltz the Halls Always - A Benefit for Scott Miller - Band Set\vss_band_garage_29apr2013t04.mp3	2422987
Vagabond Saints Society	Waltz the Halls Always Set 2	5	Shark Pretty	6:11	Various Artists\Waltz The Halls Always\Waltz the Halls Always - A Benefit for Scott Miller - Band Set\vss_band_garage_29apr2013t05.mp3	14956532
Vagabond Saints Society	Waltz the Halls Always Set 2	6	24	3:24	Various Artists\Waltz The Halls Always\Waltz the Halls Always - A Benefit for Scott Miller - Band Set\vss_band_garage_29apr2013t06.mp3	8251412
Vagabond Saints Society	Waltz the Halls Always Set 2	7	The Red Baron	4:22	Various Artists\Waltz The Halls Always\Waltz the Halls Always - A Benefit for Scott Miller - Band Set\vss_band_garage_29apr2013t07.mp3	10588860
Vagabond Saints Society	Waltz the Halls Always Set 2	8	Band introduction	0:48	Various Artists\Waltz The Halls Always\Waltz the Halls Always - A Benefit for Scott Miller - Band Set\vss_band_garage_29apr2013t08.mp3	2013386
Vagabond Saints Society	Waltz the Halls Always Set 2	9	Curse of the Frontierland (w/ Chris Murtland)	3:43	Various Artists\Waltz The Halls Always\Waltz the Halls Always - A Benefit for Scott Miller - Band Set\vss_band_garage_29apr2013t09.mp3	9018410
Vagabond Saints Society	Waltz the Halls Always Set 2	10	Jimmy Still Comes Around	5:21	Various Artists\Waltz The Halls Always\Waltz the Halls Always - A Benefit for Scott Miller - Band Set\vss_band_garage_29apr2013t10.mp3	12946161
Vagabond Saints Society	Waltz the Halls Always Set 2	11	In a Delorean	3:56	Various Artists\Waltz The Halls Always\Waltz the Halls Always - A Benefit for Scott Miller - Band Set\vss_band_garage_29apr2013t11.mp3	9541873
Vagabond Saints Society	Waltz the Halls Always Set 2	12	Note from Gil Ray	1:45	Various Artists\Waltz The Halls Always\Waltz the Halls Always - A Benefit for Scott Miller - Band Set\vss_band_garage_29apr2013t12.mp3	4297534
Vagabond Saints Society	Waltz the Halls Always Set 2	13	Nothing New	5:13	Various Artists\Waltz The Halls Always\Waltz the Halls Always - A Benefit for Scott Miller - Band Set\vss_band_garage_29apr2013t13.mp3	12629544
Vagabond Saints Society	Waltz the Halls Always Set 2	14	My Superior	4:33	Various Artists\Waltz The Halls Always\Waltz the Halls Always - A Benefit for Scott Miller - Band Set\vss_band_garage_29apr2013t14.mp3	11019357
Vagabond Saints Society	Waltz the Halls Always Set 2	15	Rob & Doug talking	2:08	Various Artists\Waltz The Halls Always\Waltz the Halls Always - A Benefit for Scott Miller - Band Set\vss_band_garage_29apr2013t15.mp3	5240033
Vagabond Saints Society	Waltz the Halls Always Set 2	16	Erica's Word	4:17	Various Artists\Waltz The Halls Always\Waltz the Halls Always - A Benefit for Scott Miller - Band Set\vss_band_garage_29apr2013t16.mp3	10374656
Vagabond Saints Society	Waltz the Halls Always Set 1	1	Note from Jozef Becker	2:20	Various Artists\Waltz The Halls Always\Waltz the Halls Always - A Benefit for Scott Miller - Solo Set\vss_solo_garage_29apr2013t01.mp3	5719644
Vagabond Saints Society	Waltz the Halls Always Set 1	2	Baker Street (Rob Disner)	3:21	Various Artists\Waltz The Halls Always\Waltz the Halls Always - A Benefit for Scott Miller - Solo Set\vss_solo_garage_29apr2013t02.mp3	8159484
Vagabond Saints Society	Waltz the Halls Always Set 1	3	I've Tried Subtley (Rob Disner)	4:19	Various Artists\Waltz The Halls Always\Waltz the Halls Always - A Benefit for Scott Miller - Solo Set\vss_solo_garage_29apr2013t03.mp3	10469759
Vagabond Saints Society	Waltz the Halls Always Set 1	4	Together Now, Very Minor (Rob Disner)	3:18	Various Artists\Waltz The Halls Always\Waltz the Halls Always - A Benefit for Scott Miller - Solo Set\vss_solo_garage_29apr2013t04.mp3	8020525
Vagabond Saints Society	Waltz the Halls Always Set 1	5	Girl with a Guitar (Jerry Chapman)	4:31	Various Artists\Waltz The Halls Always\Waltz the Halls Always - A Benefit for Scott Miller - Solo Set\vss_solo_garage_29apr2013t05.mp3	10957730
Vagabond Saints Society	Waltz the Halls Always Set 1	6	Take Me Down (Too Haloo) (Snuzz)	3:27	Various Artists\Waltz The Halls Always\Waltz the Halls Always - A Benefit for Scott Miller - Solo Set\vss_solo_garage_29apr2013t06.mp3	8394593
Vagabond Saints Society	Waltz the Halls Always Set 1	7	Note from Kristine Miller	1:07	Various Artists\Waltz The Halls Always\Waltz the Halls Always - A Benefit for Scott Miller - Solo Set\vss_solo_garage_29apr2013t07.mp3	2794978
Vagabond Saints Society	Waltz the Halls Always Set 1	8	Deee-Pression (Michael Slawter)	4:30	Various Artists\Waltz The Halls Always\Waltz the Halls Always - A Benefit for Scott Miller - Solo Set\vss_solo_garage_29apr2013t08.mp3	10893988
Vagabond Saints Society	Waltz the Halls Always Set 1	9	Asleep and Awake (Chris Murtland w/ Michael Slawter)	3:27	Various Artists\Waltz The Halls Always\Waltz the Halls Always - A Benefit for Scott Miller - Solo Set\vss_solo_garage_29apr2013t09.mp3	8374760
Vagabond Saints Society	Waltz the Halls Always Set 1	10	Doug Davis talking	2:07	Various Artists\Waltz The Halls Always\Waltz the Halls Always - A Benefit for Scott Miller - Solo Set\vss_solo_garage_29apr2013t10.mp3	5182564
Vagabond Saints Society	Waltz the Halls Always Set 1	11	She'll Be a Verb (Doug Davis)	3:54	Various Artists\Waltz The Halls Always\Waltz the Halls Always - A Benefit for Scott Miller - Solo Set\vss_solo_garage_29apr2013t11.mp3	9459342
Doug Davis	Waltz the Halls Always Set 1	12	Initiations Week	2:45	Various Artists\Waltz The Halls Always\Waltz the Halls Always - A Benefit for Scott Miller - Solo Set\vss_solo_garage_29apr2013t12.mp3	6722702
Various Artists	West Of Eden: The California Collection	3	California Fade - Anna Waronker	2:55	Various Artists\West Of Eden The California Collection\03_California Fade.mp3	4772327
Don Ho	When Pigs Fly	5	Shock The Monkey	4:08	Various Artists\When Pigs Fly\05_Shock The Monkey - Don Ho.mp3	6927444
Love	Where The Action Is! Los Angeles Nuggets 1965-1968	3	You I'll Be Following	2:23	Various Artists\Where The Action Is! Los Angeles Nuggets 1965-1968\3. You I_ll Be Following.mp3	3360207
The West Coast Pop Art Experimental Band	Where The Action Is! Los Angeles Nuggets 1965-1968	9	If You Want This Love	2:49	Various Artists\Where The Action Is! Los Angeles Nuggets 1965-1968\9. If You Want This Love (1).mp3	3835688
The West Coast Pop Art Experimental Band	Where The Action Is! Los Angeles Nuggets 1965-1968	9	If You Want This Love	2:49	Various Artists\Where The Action Is! Los Angeles Nuggets 1965-1968\9. If You Want This Love.mp3	3835688
Mark & Mike	Yuletide From The Other Side Disc 2	1	Merry Christmas-Tighten Up	3:02	Various Artists\Yuletide From The Other Side Disc 2\01-Merry Christmas-Tighten Up.mp3	5832780
Neilson Hubbard	Yuletide From The Other Side Disc 2	3	End Of The Year	2:51	Various Artists\Yuletide From The Other Side Disc 2\03-End Of The Year.mp3	5492935
Carol Ann Turney	Yuletide From The Other Side Disc 2	4	Christmas Alphabet	2:01	Various Artists\Yuletide From The Other Side Disc 2\04-Christmas Alphabet.mp3	3887230
Andy Scheinman	Yuletide From The Other Side Disc 2	5	Holiday Season	4:18	Various Artists\Yuletide From The Other Side Disc 2\05-Holiday Season.mp3	8261795
Circus Dog Serenade	Yuletide From The Other Side Disc 2	6	Snow	4:34	Various Artists\Yuletide From The Other Side Disc 2\06-Snow.mp3	8787010
Pete Finney with Guthrie Trapp	Yuletide From The Other Side Disc 2	7	Away In The Manger	2:40	Various Artists\Yuletide From The Other Side Disc 2\07-Away In The Manger.mp3	5141400
Ode Hazelwood	Yuletide From The Other Side Disc 2	8	Black Friday Blues	3:55	Various Artists\Yuletide From The Other Side Disc 2\08-Black Friday Blues.mp3	7526995
Joshua Black Wilkins	Yuletide From The Other Side Disc 2	9	It Ain't Christmas	3:41	Various Artists\Yuletide From The Other Side Disc 2\09-It Ain't Christmas.mp3	7074425
Duane Jarvis	Yuletide From The Other Side Disc 2	10	Holiday Blues	3:03	Various Artists\Yuletide From The Other Side Disc 2\10-Holiday Blues.mp3	5862005
Memphis In Orbit	Yuletide From The Other Side Disc 2	11	Sleigh Ride	3:27	Various Artists\Yuletide From The Other Side Disc 2\11-Sleigh Ride.mp3	6647740
Chris Richards	Yuletide From The Other Side Disc 2	12	It's The Thought That Counts	4:08	Various Artists\Yuletide From The Other Side Disc 2\12-It's The Thought That Counts.mp3	7957855
Was (Not Was)	ZE Christmas Album	11	Christmas Time In Motor City	2:59	Various Artists\ZE Christmas Album\11_Christmas Time In Motor City.mp3	4366044
Various Artists - Acoustic Disc Records	100% Handmade Bluegrass	10	Honky Tonk Women - Old And In The Gray	2:35	Various Artists - Acoustic Disc Records\100% Handmade Bluegrass\10_Honky Tonk Women - Old And In The Gray.mp3	3317871
The Bye Bye Blackbirds	Crayon Angel: A Tribute To The Music Of Judee Sill	12	There's a Rugged Road	4:04	Various Artists - American Dust\Crayon Angel A Tribute To The Music Of Judee Sill\Various Artists - American Dust_12_There's a Rugged Road.mp3	7786769
Rogue Wave	The Artists Den Vol II: Coming Into Focus	1	Nourishment Nation	2:43	Various Artists - Artists Den\The Artists Den Vol II Coming Into Focus\01_Nourishment Nation.mp3	4549645
Barbara Manning And Brently Pusser	100 Watts: Songs From WHPK's Pure Hype	11	Eights 	2:57	Various Artists - Atavistic\100 Watts Songs From WHPK's Pure Hype\11_Eights - Barbara Manning And Brently Pusser.mp3	3192300
Various Artists - Atavistic	100 Watts: Songs From WHPK's Pure Hype	14	Creature Feature - Goblins	2:34	Various Artists - Atavistic\100 Watts_ Songs From WHPK's Pure Hype\14_Creature Feature - Goblins.mp3	3237689
Umphrey's McGee	ATO Records Spring 2012 Sampler	13	Wellwishers	4:52	Various Artists - ATO Records\ATO Records Spring 2012 Sampler\13_Wellwishers.mp3	8778660
The Red Thread	Badman Slow Rock Sampler	2	Wax Museum 	3:33	Various Artists - Badman Recording Co\Badman Slow Rock Sampler\02_Wax Museum .mp3	5465071
Various Artists - Badman Recording Co.	Friends And Lovers: Songs Of Bread 	7	Down On My Knees 	2:48	Various Artists - Badman Recording Co\Friends And Lovers_ Songs Of Bread\07_Down On My Knees .mp3	3982641
Oranger	Friends And Lovers: Songs Of Bread 	8	Make It With You 	3:21	Various Artists - Badman Recording Co\Friends And Lovers_ Songs Of Bread\08_Make It With You .mp3	5145902
The Decemberists	Blue Flag: Charge	1	The Crane Wife 3	4:18	Various Artists - Blue Plate Music\a_ Blue Flag_ Charge\001_The Crane Wife 3.mp3	8271308
Scott Walker	Blue Flag: Charge	2	Cossacks Are	4:31	Various Artists - Blue Plate Music\a_ Blue Flag_ Charge\002_Cossacks Are.mp3	7681760
His Name Is Alive	Blue Flag: Charge	3	*C*A*T*S*	3:29	Various Artists - Blue Plate Music\a_ Blue Flag_ Charge\003__C_A_T_S_.mp3	6356618
The Willis	Blue Flag: Charge	4	Are We Are	4:16	Various Artists - Blue Plate Music\a_ Blue Flag_ Charge\004_Are We Are.mp3	6836433
Don Dixon	Blue Flag: Charge	5	In Darkness Found	4:01	Various Artists - Blue Plate Music\a_ Blue Flag_ Charge\005_In Darkness Found.mp3	7222636
Yo La Tengo	A: Blue Flag: Charge	6	Beanbag Chair	3:02	Various Artists - Blue Plate Music\a_ Blue Flag_ Charge\006_Beanbag Chair.mp3	4988939
Tom Verlaine	Blue Flag: Charge	7	Lovebird Asylum Seeker	3:23	Various Artists - Blue Plate Music\a_ Blue Flag_ Charge\007_Lovebird Asylum Seeker.mp3	5638736
Squarewave	Blue Flag: Charge	8	A Name That Isn't Mine	4:09	Various Artists - Blue Plate Music\a_ Blue Flag_ Charge\008_A Name That Isn't Mine.mp3	6810660
Lilys	Blue Flag: Charge	9	The Night Sun Over San Juan	3:45	Various Artists - Blue Plate Music\a_ Blue Flag_ Charge\009_The Night Sun Over San Juan.mp3	6312673
Pernice Brothers	A: Blue Flag: Charge	10	Microscopic View	3:19	Various Artists - Blue Plate Music\a_ Blue Flag_ Charge\010_Microscopic View.mp3	5583481
TV On The Radio	Blue Flag: Charge	11	Playhouses	5:11	Various Artists - Blue Plate Music\a_ Blue Flag_ Charge\011_Playhouses.mp3	7996407
Momus	Blue Flag: Charge	12	Permagasm	3:07	Various Artists - Blue Plate Music\a_ Blue Flag_ Charge\012_Permagasm.mp3	5460603
Robert Pollard	A: Blue Flag: Charge	13	Dancing Girls And Dancing Men	2:40	Various Artists - Blue Plate Music\a_ Blue Flag_ Charge\013_Dancing Girls And Dancing Men.mp3	4075622
Robyn Hitchcock And The Venus 3	A: Blue Flag: Charge	14	Adventure Rocket Ship	2:50	Various Artists - Blue Plate Music\a_ Blue Flag_ Charge\014_Adventure Rocket Ship.mp3	4924795
The Minus 5	A: Blue Flag: Charge	15	Hotel Senator	2:56	Various Artists - Blue Plate Music\a_ Blue Flag_ Charge\015_Hotel Senator.mp3	4780818
Matthew Friedberger	Blue Flag: Charge	16	The Pennsylvania Rock Oil Company Resignation Letter	3:43	Various Artists - Blue Plate Music\a_ Blue Flag_ Charge\016_The Pennsylvania Rock Oil Company Re.mp3	6780303
Anton Barbeau	A: Blue Flag: Charge	17	When I Was 46 In The Year 13	3:29	Various Artists - Blue Plate Music\a_ Blue Flag_ Charge\017_When I Was 46 in the Year 13.mp3	6207725
Destroyer	Blue Flag: Charge	18	Priest's Knees	3:08	Various Artists - Blue Plate Music\a_ Blue Flag_ Charge\018_Priest's Knees.mp3	5327649
The Loud Family And Anton Barbeau	A: Blue Flag: Charge	19	Song About "Rocks Off"	3:11	Various Artists - Blue Plate Music\a_ Blue Flag_ Charge\019_Song About _Rocks Off_.mp3	5196086
Grizzly Bear	Blue Flag: Charge	20	Lullabye	5:14	Various Artists - Blue Plate Music\a_ Blue Flag_ Charge\020_Lullabye.mp3	8065641
Susumu Hirasawa	B: Blue Flag: Canton	21	Dream Island Obsessional Park	3:43	Various Artists - Blue Plate Music\b_ Blue Flag_ Canton\021_Dream Island Obsessional Park.mp3	8947862
The Nits	B: Blue Flag: Canton	22	Tent	2:06	Various Artists - Blue Plate Music\b_ Blue Flag_ Canton\022_Tent.mp3	4181159
Home Video	B: Blue Flag: Canton	23	Superluminal	4:18	Various Artists - Blue Plate Music\b_ Blue Flag_ Canton\023_Superluminal.mp3	9677900
Mitch Easter	B: Blue Flag: Canton	24	Sudden Crown Drop	3:20	Various Artists - Blue Plate Music\b_ Blue Flag_ Canton\024_Sudden Crown Drop.mp3	6927584
The Pendulums	B: Blue Flag: Canton	25	Brand New Song	3:50	Various Artists - Blue Plate Music\b_ Blue Flag_ Canton\025_Brand New Song.mp3	7239689
Haiku	B: Blue Flag: Canton	26	Pendulum Head	3:56	Various Artists - Blue Plate Music\b_ Blue Flag_ Canton\026_Pendulum Head.mp3	8302225
The Winks	B: Blue Flag: Canton	27	Nolan Ryan	6:11	Various Artists - Blue Plate Music\b_ Blue Flag_ Canton\027_Nolan Ryan.mp3	10682496
The Sky Drops	B: Blue Flag: Canton	28	Now Would Be	4:17	Various Artists - Blue Plate Music\b_ Blue Flag_ Canton\028_Now Would Be.mp3	8034985
Fleeting Joys	B: Blue Flag: Canton	29	Lovely Crawl	3:37	Various Artists - Blue Plate Music\b_ Blue Flag_ Canton\029_Lovely Crawl.mp3	4349644
Envelopes	B: Blue Flag: Canton	30	Sister In Love	2:39	Various Artists - Blue Plate Music\b_ Blue Flag_ Canton\030_Sister In Love.mp3	5077608
Guided By Voices	B: Blue Flag: Canton	31	My Impression Now (Acoustic)	2:09	Various Artists - Blue Plate Music\b_ Blue Flag_ Canton\031_My Impression Now (acoustic).mp3	4121885
Camera Obscura	B: Blue Flag: Canton	32	Lloyd, I'm Ready To Be Heartbroken	3:48	Various Artists - Blue Plate Music\b_ Blue Flag_ Canton\032_Lloyd, I'm Ready To Be Heartbroken.mp3	7837833
The Never	B: Blue Flag: Canton	33	Summer Girl	3:44	Various Artists - Blue Plate Music\b_ Blue Flag_ Canton\033_Summer Girl.mp3	6715558
Bound Stems	B: Blue Flag: Canton	34	Excellent News Colonel	4:23	Various Artists - Blue Plate Music\b_ Blue Flag_ Canton\034_Excellent News Colonel.mp3	8386860
Zalatnay Sarolta	B: Blue Flag: Canton	35	Hadd Mondjam El	3:28	Various Artists - Blue Plate Music\b_ Blue Flag_ Canton\035_Hadd Mondjam El.mp3	6774144
Ben Folds	B: Blue Flag: Canton	36	Such Great Heights	4:42	Various Artists - Blue Plate Music\b_ Blue Flag_ Canton\036_Such Great Heights.mp3	7308701
Rifle Nice	B: Blue Flag: Canton	37	Bubble Trouble	3:24	Various Artists - Blue Plate Music\b_ Blue Flag_ Canton\037_Bubble Trouble.mp3	6453531
Cursive	B: Blue Flag: Canton	38	Dorothy At Forty	3:02	Various Artists - Blue Plate Music\b_ Blue Flag_ Canton\038_Dorothy At Forty.mp3	5799538
Espers	B: Blue Flag: Canton	39	Dead Queen	8:06	Various Artists - Blue Plate Music\b_ Blue Flag_ Canton\039_Dead Queen.mp3	15473169
Leaves From Off The Tree	B: Blue Flag: Canton	40	Barbry Ellen	5:43	Various Artists - Blue Plate Music\b_ Blue Flag_ Canton\040_Barbry Ellen.mp3	10983331
Antarctica Takes It!	B: Blue Flag: Canton	41	I'm No Lover	1:30	Various Artists - Blue Plate Music\b_ Blue Flag_ Canton\041_I'm No Lover.mp3	2797957
Angie Heaton	B: Blue Flag: Canton	42	Rollerskate	2:49	Various Artists - Blue Plate Music\b_ Blue Flag_ Canton\042_Rollerskate.mp3	4620288
Little Roger & The Goosebumps	B: Blue Flag: Canton	43	Stairway To Gilligan's Island	3:13	Various Artists - Blue Plate Music\b_ Blue Flag_ Canton\043_Stairway To Gilligan's Island.mp3	4697515
Veda Hille	B: Blue Flag: Canton	44	The Cats That Live in the Berlin Graveyard That Houses Brecht and Eisler	1:10	Various Artists - Blue Plate Music\b_ Blue Flag_ Canton\044_The Cats that Live in the Berlin Gra.mp3	2374847
Tokyo Police Club	Blue Flag: Hoist	45	Nature Of The Experiment	2:01	Various Artists - Blue Plate Music\c_ Blue Flag_ Hoist\045_Nature of the Experiment.mp3	1811035
Ghosty	Blue Flag: Hoist	46	You Are A Big Screen	3:47	Various Artists - Blue Plate Music\c_ Blue Flag_ Hoist\046_You Are a Big Screen (Mix 1) Db.mp3	7061107
Field Music	C: Blue Flag: Hoist	47	Pieces	3:02	Various Artists - Blue Plate Music\c_ Blue Flag_ Hoist\047_Pieces.mp3	4393088
Asobi Seksu	Blue Flag: Hoist	48	Walk On The Moon	4:33	Various Artists - Blue Plate Music\c_ Blue Flag_ Hoist\048_Walk On The Moon.mp3	8089813
Of Montreal	Blue Flag: Hoist	49	The Past Is A Grotesque Animal	11:53	Various Artists - Blue Plate Music\c_ Blue Flag_ Hoist\049_The Past is a Grotesque Animal.mp3	20465701
A Place To Bury Strangers	Blue Flag: Hoist	50	My Weakness	2:38	Various Artists - Blue Plate Music\c_ Blue Flag_ Hoist\050_My Weakness.mp3	4925531
The Bicycles	Blue Flag: Hoist	51	B-B-Bicycles	2:06	Various Artists - Blue Plate Music\c_ Blue Flag_ Hoist\051_B-B-Bicycles.mp3	3888739
The Happy Eggs	Blue Flag: Hoist	52	Rippy	2:45	Various Artists - Blue Plate Music\c_ Blue Flag_ Hoist\052_Rippy.mp3	5103623
Anne Laplantine	Blue Flag: Hoist	53	Spring Won't Find Us	3:14	Various Artists - Blue Plate Music\c_ Blue Flag_ Hoist\053_Spring Won't Find Us.mp3	5802100
Craig Wedren	Blue Flag: Hoist	54	Night Is Over	3:03	Various Artists - Blue Plate Music\c_ Blue Flag_ Hoist\054_Night Is Over.mp3	6278985
The Wrens	Blue Flag: Hoist	55	They'll Need A Crane	4:17	Various Artists - Blue Plate Music\c_ Blue Flag_ Hoist\055_They'll Need a Crane.mp3	8267147
Kathleen Yearwood	Blue Flag: Hoist	56	Night Falls	5:12	Various Artists - Blue Plate Music\c_ Blue Flag_ Hoist\056_Night Falls.mp3	9816823
John McGlinchey	Blue Flag: Hoist	57	Spider	3:06	Various Artists - Blue Plate Music\c_ Blue Flag_ Hoist\057_Spider.mp3	5610037
Wrapping Paper	Blue Flag: Hoist	58	Hold Up The Neon Sign	2:08	Various Artists - Blue Plate Music\c_ Blue Flag_ Hoist\058_Hold up the Neon Sign.mp3	3874954
The Vandelles	Blue Flag: Hoist	59	Lovely Weather	2:59	Various Artists - Blue Plate Music\c_ Blue Flag_ Hoist\059_Lovely Weather.mp3	4788990
Coin Op	Blue Flag: Hoist	60	Hey Uri!	2:42	Various Artists - Blue Plate Music\c_ Blue Flag_ Hoist\060_Hey Uri!.mp3	4799991
Dymaxion	Blue Flag: Hoist	61	U.S. 80s-90s	3:44	Various Artists - Blue Plate Music\c_ Blue Flag_ Hoist\061_U.S. 80s-90s.mp3	7457699
Jed And Lucia	Blue Flag: Hoist	62	Can't Cage A Bird	4:09	Various Artists - Blue Plate Music\c_ Blue Flag_ Hoist\062_Can't Cage a Bird.mp3	3992576
Sunset Rubdown	Blue Flag: Hoist	63	We Got Broken Eyes	6:58	Various Artists - Blue Plate Music\c_ Blue Flag_ Hoist\063_We Got Broken Eyes.mp3	10037167
The Upbeats	Blue Flag: Hoist	64	Jello Party Mania	5:16	Various Artists - Blue Plate Music\c_ Blue Flag_ Hoist\064_Jello Party Mania.mp3	8760232
David Cross	Blue Flag: Hoist	65	When It Comes to Jews, Behavior One Might Perceive as Obnoxious and Annoying I Present as 'Quirky' But It's Okay to Joke About it Because I, Myself, Am Jewish!	6:01	Various Artists - Blue Plate Music\c_ Blue Flag_ Hoist\065_When It Comes to Jews, Behavior One.mp3	10804298
The Cellos	D: Blue Flag: Fimbriation	66	Rang Tang Ding Dong (I Am The Japanese Sandman)	2:43	Various Artists - Blue Plate Music\d_ Blue Flag_ Fimbriation\066_Rang Tang Ding Dong (I am the Japane.mp3	2642582
They Might Be Giants	D: Blue Flag: Fimbriation	67	The House At The Top Of The Tree	2:30	Various Artists - Blue Plate Music\d_ Blue Flag_ Fimbriation\067_The House at the Top of the Tree.mp3	3616768
Robyn Hitchcock	D: Blue Flag: Fimbriation	68	Are 'Friends' Electric?	4:44	Various Artists - Blue Plate Music\d_ Blue Flag_ Fimbriation\068_Are 'Friends' Electric_.mp3	9471899
Juana Molina	D: Blue Flag: Fimbriation	69	Malherido	4:04	Various Artists - Blue Plate Music\d_ Blue Flag_ Fimbriation\069_Malherido.mp3	8287539
CC Sager	D: Blue Flag: Fimbriation	70	The Johnny Bristol Flu	4:12	Various Artists - Blue Plate Music\d_ Blue Flag_ Fimbriation\070_The Johnny Bristol Flu.mp3	8933510
Two Gallants	D: Blue Flag: Fimbriation	71	Waves Of Grain	9:34	Various Artists - Blue Plate Music\d_ Blue Flag_ Fimbriation\071_Waves Of Grain.mp3	11488363
Electric Penguins	D: Blue Flag: Fimbriation	72	Supergirl	3:20	Various Artists - Blue Plate Music\d_ Blue Flag_ Fimbriation\072_Supergirl.mp3	7329141
Daylight's For The Birds	D: Blue Flag: Fimbriation	73	To No One	4:31	Various Artists - Blue Plate Music\d_ Blue Flag_ Fimbriation\073_To No One.mp3	4344023
Jonathan Coulton	D: Blue Flag: Fimbriation	74	Skullcrusher Mountain	4:16	Various Artists - Blue Plate Music\d_ Blue Flag_ Fimbriation\074_Skullcrusher Mountain.mp3	8583590
These Are Powers	D: Blue Flag: Fimbriation	75	The South Angel	4:35	Various Artists - Blue Plate Music\d_ Blue Flag_ Fimbriation\075_The South Angel.mp3	6619635
TRS-80	D: Blue Flag: Fimbriation	76	Julie's Story	4:45	Various Artists - Blue Plate Music\d_ Blue Flag_ Fimbriation\076_Julie's Story.mp3	6910281
Si Schroeder	D: Blue Flag: Fimbriation	77	Lavendermist	7:06	Various Artists - Blue Plate Music\d_ Blue Flag_ Fimbriation\077_Lavendermist.mp3	6828160
Canada	D: Blue Flag: Fimbriation	78	Beige Stationwagon	4:30	Various Artists - Blue Plate Music\d_ Blue Flag_ Fimbriation\078_Beige Stationwagon.mp3	8518559
The Arcade Fire	D: Blue Flag: Fimbriation	79	Cold Wind	3:09	Various Artists - Blue Plate Music\d_ Blue Flag_ Fimbriation\079_Cold Wind.mp3	6569363
Bardo Pond	D: Blue Flag: Fimbriation	80	Cry Baby Cry	4:54	Various Artists - Blue Plate Music\d_ Blue Flag_ Fimbriation\080_Cry Baby Cry.mp3	10192928
TBH	D: Blue Flag: Fimbriation	81	Penny Lane	3:16	Various Artists - Blue Plate Music\d_ Blue Flag_ Fimbriation\081_Penny Lane.mp3	7491239
Rick Donner	D: Blue Flag: Fimbriation	82	Planets Like Rings	3:21	Various Artists - Blue Plate Music\d_ Blue Flag_ Fimbriation\082_Planets Like Rings.mp3	4021592
P. Hux	D: Blue Flag: Fimbriation	83	Another Satellite	4:20	Various Artists - Blue Plate Music\d_ Blue Flag_ Fimbriation\083_Another Satellite.mp3	6511830
The Bye Bye Blackbirds	D: Blue Flag: Fimbriation	84	How I Knew It Wasn't Love	5:19	Various Artists - Blue Plate Music\d_ Blue Flag_ Fimbriation\084_How I Knew It Wasn't Love.mp3	8154888
George W. Bush	d: Blue Flag: Fimbriation	85	Imagine This	4:19	Various Artists - Blue Plate Music\d_ Blue Flag_ Fimbriation\085_Imagine This.mp3	9405551
